"id","uuid","date","province","patrol_crime","patrol_case","patrol_exhibit","patrol_enforcement","patrol_amount","patrol_remarkcrime","patrol_othercrime","patrol_otherenforce"
446137168,NA,"2023-05-31",8,3,130,130,"[""1"", ""2""]",12,NA,NA,NA
446137168,NA,"2023-05-31",8,2,10,10,"[""1"", ""2""]",10,NA,NA,NA
446175648,NA,"2023-04-14",9,1,2,2,"[""6""]",2,NA,NA,NA
446175648,NA,"2023-04-14",9,88,1,4,"[""1"", ""2""]",1,NA,NA,NA
446175648,NA,"2023-04-14",9,88,1,40,"[""1"", ""2""]",1,NA,NA,NA
446278740,NA,"2023-05-31",18,88,0,0,"[""88""]",0,NA,NA,NA
446288311,NA,"2023-06-09",18,88,0,0,"[""88""]",0,NA,NA,NA
446422014,NA,"2023-06-16",18,88,0,0,"[""88""]",0,NA,NA,NA
446439320,NA,"2023-05-15",9,1,2,2,"[""6""]",2,NA,NA,NA
446439320,NA,"2023-05-15",9,1,1,20,"[""3"", ""4""]",1,NA,NA,NA
446441870,NA,"2023-06-30",10,13,7,3,"[""1"", ""2""]",0,NA,NA,NA
446445456,NA,"2023-06-23",15,3,4,3,"[""2""]",2,NA,NA,NA
446446819,NA,"2023-06-30",4,3,2,700,"[""2""]",2,NA,NA,NA
446446819,NA,"2023-06-30",4,4,7,2450,"[""2""]",7,NA,NA,NA
446447657,NA,"2023-06-30",15,1,4,3,"[""2""]",4,NA,NA,NA
446451296,NA,"2023-06-30",2,4,37,22100,"[""2""]",37,NA,NA,NA
446451296,NA,"2023-06-30",2,3,1,450,"[""2""]",1,NA,NA,NA
446452488,NA,"2023-06-15",9,88,1,2,"[""1"", ""2""]",1,NA,NA,NA
446538966,NA,"2023-02-27",25,3,3,3,"[""2"", ""6""]",2,NA,NA,NA
446539173,NA,"2023-03-30",25,10,1,2,"[""3""]",1,NA,NA,NA
446539449,NA,"2023-04-28",25,3,1,3,"[""2""]",0,NA,NA,NA
